row_id,source_url,youtube_id,title,uploader,upload_date,duration_seconds,video_path,audio_path,subtitle_path,video_status,audio_status,subtitle_status,media_verified,notes
1,https://www.youtube.com/watch?v=pvNr1jnlRpc,pvNr1jnlRpc,Tupac Murder Trial: Mob James Reveals Death Row Secrets In Explosive Testimony | Day 2 | N18G,CNBC-TV18,20260819,2227,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te_pvNr1jnlRpc.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te_pvNr1jnlRpc.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te_pvNr1jnlRpc.en.vtt,exists,exists,exists,YES,"video_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te_pvNr1jnlRpc.mp4: ISO Media, MP4 Base Media v1 [ISO 14496-12:2003]; audio_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te/tupac-murder-trial-mob-james-reveals-death-row-secrets-in-explosive-te_pvNr1jnlRpc.wav: RIFF (little-endian) data, WAVE audio, Microsoft PCM, 16 bit, mono 16000 Hz"
2,https://www.youtube.com/watch?v=lOcZ_IJbM3I,lOcZ_IJbM3I,Reggie Wright Jr. - Full Testimony in Tupac Murder Trial,Katt Not Williams,20260819,6739,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.en.vtt,exists,exists,exists,YES,"video_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.mp4: ISO Media, MP4 Base Media v1 [ISO 14496-12:2003]; audio_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/reggie-wright-jr-full-testimony-in-tupac-murder-trial/reggie-wright-jr-full-testimony-in-tupac-murder-trial_lOcZ_IJbM3I.wav: RIFF (little-endian) data, WAVE audio, Microsoft PCM, 16 bit, mono 16000 Hz"
3,https://www.youtube.com/watch?v=gozVH0bYxzY,gozVH0bYxzY,2Pac Trial Day 2: Reggie Wright and MOB James Testify | 8.18.2026,bomb1st,20260818,27936,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.en.vtt,exists,exists,exists,YES,"video_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.mp4: ISO Media, MP4 Base Media v1 [ISO 14496-12:2003]; audio_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026/2pac-trial-day-2-reggie-wright-and-mob-james-testify-8-18-2026_gozVH0bYxzY.wav: RIFF (little-endian) data, WAVE audio, Microsoft PCM, 16 bit, mono 16000 Hz"
4,https://www.youtube.com/watch?v=DiurriBQxVs,DiurriBQxVs,Keefe D's Lawyer Cross-Exams Ex-Suge Knight Security Reggie Wright About 2Pac's Murder,Meghann Cuniff,20260819,2763,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.en.vtt,exists,exists,exists,YES,"video_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.mp4: ISO Media, MP4 Base Media v1 [ISO 14496-12:2003]; audio_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav: RIFF (little-endian) data, WAVE audio, Microsoft PCM, 16 bit, mono 16000 Hz"
5,https://www.youtube.com/watch?v=nEzTBJWiyqM,nEzTBJWiyqM,Tupac Murder Trial: Doctor Reveals Details From Tupac Shakur’s 1996 Autopsy | AB13,GBS,20260818,1305,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut_nEzTBJWiyqM.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut_nEzTBJWiyqM.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut_nEzTBJWiyqM.en.vtt,exists,exists,exists,YES,"video_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut_nEzTBJWiyqM.mp4: ISO Media, MP4 Base Media v1 [ISO 14496-12:2003]; audio_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut/tupac-murder-trial-doctor-reveals-details-from-tupac-shakur-s-1996-aut_nEzTBJWiyqM.wav: RIFF (little-endian) data, WAVE audio, Microsoft PCM, 16 bit, mono 16000 Hz"
6,https://www.youtube.com/watch?v=YCH11exBTlY,YCH11exBTlY,Retired LVMPD officer testimony in Tupac Murder Trial,News 3 Las Vegas,20260819,1018,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/retired-lvmpd-officer-testimony-in-tupac-murder-trial/retired-lvmpd-officer-testimony-in-tupac-murder-trial_YCH11exBTlY.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/retired-lvmpd-officer-testimony-in-tupac-murder-trial/retired-lvmpd-officer-testimony-in-tupac-murder-trial_YCH11exBTlY.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/retired-lvmpd-officer-testimony-in-tupac-murder-trial/retired-lvmpd-officer-testimony-in-tupac-murder-trial_YCH11exBTlY.en.vtt,exists,exists,exists,YES,"video_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/retired-lvmpd-officer-testimony-in-tupac-murder-trial/retired-lvmpd-officer-testimony-in-tupac-murder-trial_YCH11exBTlY.mp4: ISO Media, MP4 Base Media v1 [ISO 14496-12:2003]; audio_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/retired-lvmpd-officer-testimony-in-tupac-murder-trial/retired-lvmpd-officer-testimony-in-tupac-murder-trial_YCH11exBTlY.wav: RIFF (little-endian) data, WAVE audio, Microsoft PCM, 16 bit, mono 16000 Hz"
7,https://www.youtube.com/watch?v=EA-DSbYev9I,EA-DSbYev9I,"NV v. Duane 'Keffe D' Davis | Day 2 - MOB James, Reggie Wright Jr., and the Corner",Emily D. Baker,20260819,31011,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.en.vtt,downloaded,extracted,exists,YES,"video_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.mp4: ISO Media, MP4 Base Media v1 [ISO 14496-12:2003]; audio_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn/nv-v-duane-keffe-d-davis-day-2-mob-james-reggie-wright-jr-and-the-corn_EA-DSbYev9I.wav: RIFF (little-endian) data, WAVE audio, Microsoft PCM, 16 bit, mono 16000 Hz"
8,https://www.youtube.com/live/Wt1h7rnCvZQ,Wt1h7rnCvZQ,LIVE: NV v. Duane ‘Keffe D’ Davis - Day 2 | Tupac Murder Trial,COURT TV,20260819,27730,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.mp4,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.wav,/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.en.vtt,downloaded,extracted,exists,YES,"video_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.mp4: ISO Media, MP4 Base Media v1 [ISO 14496-12:2003]; audio_verify=/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial/live-nv-v-duane-keffe-d-davis-day-2-tupac-murder-trial_Wt1h7rnCvZQ.wav: RIFF (little-endian) data, WAVE audio, Microsoft PCM, 16 bit, mono 16000 Hz"
