source_audio_path,speaker_cluster_id,segment_start_seconds,segment_end_seconds,diarization_model
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,49.964,50.960,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,51.567,53.255,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,53.592,56.917,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,57.372,61.507,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,61.810,62.502,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,63.548,67.767,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,68.695,70.298,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,70.501,72.307,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,72.965,73.876,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,74.517,75.614,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,76.238,77.403,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,77.791,81.537,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,81.993,86.380,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,87.528,87.562,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,87.562,87.629,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,87.629,88.675,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,89.384,90.835,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,90.835,90.852,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,90.852,90.886,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,90.886,90.903,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,90.903,91.409,pyannote/speaker-diarization-3.1
