utterance_id,face_track_id,frame_time_seconds,audio_energy_score,mouth_motion_score,active_speaker_score
DiurriBQxVs_turn00004,FACE_06,1.496,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_13,1.496,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_14,1.496,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_15,1.496,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_00,1.646,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_03,1.646,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_05,1.646,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_06,1.646,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_14,1.646,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_00,1.795,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_03,1.795,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_05,1.795,0.000000,0.004651,0.014882
DiurriBQxVs_turn00004,FACE_06,1.795,0.000000,0.000000,0.000000
DiurriBQxVs_turn00004,FACE_14,1.795,0.000000,0.000000,0.000000
DiurriBQxVs_turn00171,FACE_00,20.704,0.000000,0.000000,0.000000
DiurriBQxVs_turn00171,FACE_01,20.704,0.000000,0.000000,0.000000
DiurriBQxVs_turn00171,FACE_02,20.704,0.000000,0.000000,0.000000
DiurriBQxVs_turn00171,FACE_03,20.704,0.000000,0.000000,0.000000
DiurriBQxVs_turn00171,FACE_04,20.704,0.000000,0.000000,0.000000
DiurriBQxVs_turn00171,FACE_05,20.704,0.000000,0.000000,0.000000
DiurriBQxVs_turn00171,FACE_06,20.704,0.000000,0.000000,0.000000
DiurriBQxVs_turn00171,FACE_07,20.704,0.000000,0.000000,0.000000
DiurriBQxVs_turn00171,FACE_08,20.704,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_00,1.668,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_01,1.668,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_02,1.668,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_03,1.668,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_04,1.668,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_00,1.735,0.000000,0.011778,0.037689
DiurriBQxVs_turn00177,FACE_01,1.735,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_02,1.735,0.000000,0.020548,0.065755
DiurriBQxVs_turn00177,FACE_03,1.735,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_04,1.735,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_00,1.802,0.000000,0.007328,0.023451
DiurriBQxVs_turn00177,FACE_01,1.802,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_02,1.802,0.000000,0.016124,0.051598
DiurriBQxVs_turn00177,FACE_03,1.802,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_04,1.802,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_00,1.869,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_02,1.869,0.000000,0.026227,0.083926
DiurriBQxVs_turn00177,FACE_03,1.869,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_05,1.869,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_06,1.869,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_00,1.935,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_02,1.935,0.000000,0.023129,0.074012
DiurriBQxVs_turn00177,FACE_03,1.935,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_05,1.935,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_06,1.935,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_00,2.002,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_02,2.002,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_03,2.002,0.000000,0.025162,0.080518
DiurriBQxVs_turn00177,FACE_05,2.002,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_00,2.069,0.000000,0.000362,0.001157
DiurriBQxVs_turn00177,FACE_02,2.069,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_03,2.069,0.000000,0.000000,0.000000
DiurriBQxVs_turn00177,FACE_05,2.069,0.000000,0.000379,0.001214
DiurriBQxVs_turn00179,FACE_00,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00179,FACE_01,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00179,FACE_02,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_03,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.054,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.054,0.000000,0.001097,0.003512
DiurriBQxVs_turn00182,FACE_02,0.054,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_03,0.054,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.108,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.108,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.108,0.000000,0.013923,0.044552
DiurriBQxVs_turn00182,FACE_00,0.161,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.161,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.161,0.000000,0.013230,0.042336
DiurriBQxVs_turn00182,FACE_00,0.215,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.215,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.215,0.000000,0.021656,0.069298
DiurriBQxVs_turn00182,FACE_00,0.269,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.269,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.269,0.000000,0.000524,0.001677
DiurriBQxVs_turn00182,FACE_00,0.323,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.323,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.323,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_04,0.323,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.377,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.377,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.377,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_04,0.377,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.431,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.431,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.431,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_04,0.431,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.484,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.484,0.000000,0.015223,0.048712
DiurriBQxVs_turn00182,FACE_02,0.484,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.538,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.538,0.000000,0.003866,0.012370
DiurriBQxVs_turn00182,FACE_02,0.538,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.592,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.592,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.592,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_05,0.592,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.646,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.646,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.646,0.000000,0.000615,0.001967
DiurriBQxVs_turn00182,FACE_05,0.646,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.700,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.700,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.700,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_05,0.700,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.753,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.753,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.753,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_05,0.753,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.807,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.807,0.000000,0.009337,0.029880
DiurriBQxVs_turn00182,FACE_02,0.807,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_05,0.807,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.861,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.861,0.000000,0.001537,0.004919
DiurriBQxVs_turn00182,FACE_02,0.861,0.000000,0.013902,0.044487
DiurriBQxVs_turn00182,FACE_05,0.861,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,0.915,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.915,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,0.915,0.000000,0.000141,0.000451
DiurriBQxVs_turn00182,FACE_05,0.915,0.000000,0.007417,0.023735
DiurriBQxVs_turn00182,FACE_00,0.969,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,0.969,0.000000,0.001674,0.005356
DiurriBQxVs_turn00182,FACE_02,0.969,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_05,0.969,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,1.023,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,1.023,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,1.023,0.000000,0.000080,0.000256
DiurriBQxVs_turn00182,FACE_05,1.023,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_00,1.076,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,1.076,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,1.076,0.000000,0.000135,0.000432
DiurriBQxVs_turn00182,FACE_00,1.130,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,1.130,0.000000,0.007832,0.025061
DiurriBQxVs_turn00182,FACE_02,1.130,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,1.184,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,1.184,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,1.238,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,1.238,0.000000,0.000272,0.000870
DiurriBQxVs_turn00182,FACE_06,1.238,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_01,1.292,0.000000,0.000000,0.000000
DiurriBQxVs_turn00182,FACE_02,1.292,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_00,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_01,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_02,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_03,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_04,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_05,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_00,0.431,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_01,0.431,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_03,0.431,0.000000,0.000000,0.000000
